[BEGIN LOG INFO]
Version,LogDate
1.1.0,Mon May 15 16:38:07 2017
[END LOG INFO]

[BEGIN TRACKER INFO]
TrackerNum,LibVersion,TrackerType,TrackerModel,Port,SyncState,SyncRate,SyncPhase,Interface,UltTimeout,UltVolume,FirmwareRev,LedEnable
1,4.2401,1,18,4,0,60.000000,0,1,25,3,5.0000,1
[END TRACKER INFO]

[BEGIN STATION INFO]
TrackerNum,StationNum,Serial,FW,StationType,Descriptor,CalDate,Port,Timestamp,State,Enhancement,Sensitivity,Compass,Prediction
1,1,1512101,5,150,11-08-2012 2.014   ,12/31/2015,4,ON,ON,2,3,2,0
[END STATION INFO]

TrackerNum,StationNum,X,Y,Z,Yaw,Pitch,Roll,Time,DoubleTime,DoubleOSTime,TQ,CI,MQ,GXBF,GYBF,GZBF,GXNF,GYNF,GZNF,GXRAW,GYRAW,GZRAW,AXBF,AYBF,AZBF,AXNF,AYNF,AZNF,MagX,MagY,MagZ,CompassYaw,JoystickAxis1,JoystickAxis2,Buttons,AuxIn0,AuxIn1,AuxIn2,AuxIn3,StillTime,Vbatt,Temperature
1,1,0.00000,0.00000,0.00000,-16.884,39.793,-7.672,1046.1250,1046.1250,1046.1250,100,100,0,0.01081,0.35282,-0.37345,-0.16049,0.36202,-0.32749,0.00750,0.35000,-0.38125,6.03125,0.72656,-7.27344,-0.13635,-0.21209,0.33336,-0.06225,0.01175,0.39600,-17.485,-1,-1,-1,-1,-1,-1,-1,0.0000,5.098,35.550
1,1,0.00000,0.00000,0.00000,-17.042,39.880,-7.772,1046.1300,1046.1300,1046.1316,100,100,0,0.00956,0.33282,-0.37471,-0.16638,0.34291,-0.32558,0.00625,0.33000,-0.38250,5.92969,1.06250,-7.23438,-0.13231,0.12767,0.39429,-0.06225,0.01100,0.39600,-17.558,-1,-1,-1,-1,-1,-1,-1,0.0000,5.086,35.550
1,1,0.00000,0.00000,0.00000,-17.189,39.963,-7.862,1046.1350,1046.1350,1046.1316,100,100,0,0.02081,0.32657,-0.32221,-0.12545,0.33129,-0.29224,0.01750,0.32375,-0.33000,5.96875,1.14063,-7.31250,-0.15338,0.19231,0.30196,-0.06400,0.01100,0.39600,-17.627,-1,-1,-1,-1,-1,-1,-1,0.0050,5.086,35.450
1,1,0.00000,0.00000,0.00000,-17.322,40.049,-7.943,1046.1400,1046.1400,1046.1372,100,100,0,0.01956,0.33781,-0.28721,-0.10131,0.34049,-0.26607,0.01625,0.33500,-0.29500,6.00000,1.26563,-7.34375,-0.13959,0.30252,0.24519,-0.06400,0.01100,0.39450,-17.802,-1,-1,-1,-1,-1,-1,-1,0.0000,5.086,35.550
1,1,0.00000,0.00000,0.00000,-17.438,40.141,-8.010,1046.1450,1046.1450,1046.1438,100,100,0,0.04581,0.35657,-0.23471,-0.04409,0.34966,-0.24520,0.04250,0.35375,-0.24250,5.98438,1.34375,-7.10938,0.00240,0.36452,0.42429,-0.06400,0.01175,0.39450,-17.859,-1,-1,-1,-1,-1,-1,-1,0.0050,5.102,35.550
1,1,0.00000,0.00000,0.00000,-17.535,40.236,-8.058,1046.1500,1046.1500,1046.1492,100,100,0,0.04581,0.35031,-0.17471,-0.00633,0.34007,-0.19913,0.04250,0.34750,-0.18250,6.00000,1.29688,-7.00781,0.05432,0.30680,0.49568,-0.06550,0.01175,0.39450,-17.905,-1,-1,-1,-1,-1,-1,-1,0.0000,5.102,35.550
1,1,0.00000,0.00000,0.00000,-17.613,40.331,-8.095,1046.1550,1046.1550,1046.1547,100,100,0,0.04455,0.33531,-0.14097,0.01160,0.32379,-0.17122,0.04125,0.33250,-0.14875,6.09375,1.47656,-6.93750,0.19144,0.45452,0.46857,-0.06550,0.01175,0.39525,-18.246,-1,-1,-1,-1,-1,-1,-1,0.0050,5.102,35.550
1,1,0.00000,0.00000,0.00000,-17.672,40.423,-8.120,1046.1600,1046.1600,1046.1613,100,100,0,0.04330,0.32156,-0.07847,0.04863,0.30698,-0.12180,0.04000,0.31875,-0.08625,6.19531,1.50000,-6.67969,0.42471,0.43896,0.59378,-0.06550,0.01125,0.39525,-18.279,-1,-1,-1,-1,-1,-1,-1,0.0000,5.102,35.550
1,1,0.00000,0.00000,0.00000,-17.709,40.510,-8.128,1046.1650,1046.1650,1046.1666,100,100,0,0.06705,0.29157,-0.02847,0.09219,0.26933,-0.09632,0.06375,0.28875,-0.03625,6.05469,1.43750,-6.69531,0.28539,0.41388,0.67976,-0.06850,0.01125,0.39525,-18.298,-1,-1,-1,-1,-1,-1,-1,0.0050,5.108,35.550
1,1,0.00000,0.00000,0.00000,-17.723,40.590,-8.113,1046.1700,1046.1700,1046.1667,100,100,0,0.09080,0.25657,0.03903,0.14618,0.22572,-0.05723,0.08750,0.25375,0.03125,6.07031,1.51563,-6.76562,0.25554,0.49510,0.60833,-0.06850,0.01125,0.39375,-18.273,-1,-1,-1,-1,-1,-1,-1,0.0000,5.108,35.550
